city_ibge_code,IDHM,IDHM_E,IDHM_L,IDHM_R,ANO_IDH,GINI
1718006,0.645,0.584,0.785,0.586,2010,0.51
1718204,0.74,0.701,0.826,0.699,2010,0.54
1718303,0.583,0.517,0.73,0.526,2010,0.53
1718402,0.669,0.582,0.82,0.628,2010,0.51
1718451,0.669,0.595,0.809,0.621,2010,0.44
1718501,0.5,0.345,0.738,0.49,2010,0.64
1718550,0.572,0.49,0.76,0.503,2010,0.53
1718659,0.608,0.561,0.718,0.557,2010,0.55
1718709,0.616,0.501,0.795,0.588,2010,0.48
1718758,0.6,0.482,0.779,0.574,2010,0.59
1718808,0.606,0.59,0.691,0.546,2010,0.5
1718840,0.659,0.578,0.791,0.626,2010,0.47
1718865,0.616,0.482,0.804,0.604,2010,0.54
1718881,0.634,0.543,0.784,0.6,2010,0.53
1718899,0.651,0.527,0.83,0.63,2010,0.53
1718907,0.595,0.471,0.78,0.574,2010,0.54
1719004,0.662,0.575,0.817,0.618,2010,0.47
1720002,0.637,0.584,0.758,0.583,2010,0.54
1720101,0.605,0.506,0.736,0.595,2010,0.56
1720150,0.574,0.446,0.771,0.55,2010,0.64
1720200,0.623,0.544,0.762,0.582,2010,0.56
1720259,0.605,0.471,0.794,0.592,2010,0.61
1720309,0.573,0.487,0.748,0.516,2010,0.55
1720499,0.643,0.539,0.814,0.605,2010,0.56
1720655,0.675,0.592,0.814,0.638,2010,0.56
1720804,0.604,0.526,0.762,0.55,2010,0.56
1720853,0.667,0.599,0.794,0.623,2010,0.5
1720903,0.634,0.497,0.818,0.628,2010,0.64
1720937,0.601,0.47,0.798,0.578,2010,0.55
1720978,0.654,0.535,0.801,0.654,2010,0.48
1721000,0.788,0.749,0.827,0.789,2010,0.58
1721109,0.589,0.459,0.782,0.57,2010,0.62
1721208,0.681,0.623,0.801,0.634,2010,0.52
1721257,0.67,0.593,0.808,0.629,2010,0.48
1721307,0.587,0.425,0.791,0.601,2010,0.57
1722081,0.638,0.561,0.748,0.619,2010,0.51
1722107,0.671,0.57,0.818,0.648,2010,0.6
2100055,0.672,0.602,0.785,0.643,2010,0.56
2100105,0.529,0.434,0.725,0.471,2010,0.59
2100154,0.5,0.363,0.697,0.494,2010,0.59
2100204,0.573,0.475,0.753,0.525,2010,0.59
2100303,0.513,0.374,0.72,0.5,2010,0.59
2100402,0.549,0.473,0.719,0.486,2010,0.52
2100436,0.554,0.444,0.744,0.516,2010,0.51
2100477,0.558,0.483,0.774,0.465,2010,0.57
2100501,0.633,0.474,0.785,0.683,2010,0.78
2100550,0.52,0.406,0.688,0.503,2010,0.57
2100600,0.555,0.441,0.716,0.541,2010,0.59
2100709,0.581,0.492,0.762,0.523,2010,0.6
2100808,0.581,0.502,0.764,0.511,2010,0.54
2100832,0.568,0.483,0.718,0.529,2010,0.52
2100873,0.533,0.444,0.706,0.483,2010,0.52
2100907,0.521,0.402,0.709,0.497,2010,0.59
2100956,0.512,0.365,0.701,0.525,2010,0.72
2101004,0.626,0.546,0.764,0.587,2010,0.57
2101103,0.641,0.634,0.776,0.535,2010,0.54
2101202,0.651,0.591,0.753,0.619,2010,0.55
2101251,0.629,0.58,0.768,0.558,2010,0.54
2101301,0.578,0.484,0.737,0.54,2010,0.58
2101350,0.537,0.479,0.681,0.474,2010,0.55
2101400,0.687,0.597,0.807,0.674,2010,0.58
2101509,0.592,0.484,0.743,0.578,2010,0.52
2101608,0.606,0.498,0.763,0.585,2010,0.62
2101707,0.57,0.479,0.752,0.515,2010,0.61
2101731,0.512,0.455,0.707,0.417,2010,0.63
2101772,0.554,0.45,0.735,0.515,2010,0.5
2101806,0.546,0.426,0.719,0.531,2010,0.58
2101905,0.601,0.561,0.757,0.51,2010,0.55
2101939,0.604,0.547,0.742,0.544,2010,0.47
2101970,0.545,0.461,0.681,0.515,2010,0.52
2102002,0.538,0.4,0.75,0.519,2010,0.58
2102036,0.558,0.431,0.751,0.537,2010,0.62
2102077,0.562,0.493,0.741,0.486,2010,0.49
2102101,0.562,0.454,0.758,0.517,2010,0.64
2102150,0.519,0.408,0.677,0.507,2010,0.48
2102200,0.548,0.48,0.714,0.479,2010,0.63
2102309,0.59,0.506,0.752,0.539,2010,0.55
2102325,0.556,0.455,0.708,0.533,2010,0.6
2102358,0.583,0.505,0.725,0.54,2010,0.5
2102374,0.537,0.476,0.773,0.422,2010,0.57
2102408,0.553,0.505,0.72,0.466,2010,0.57
2102507,0.523,0.421,0.747,0.456,2010,0.63
2102556,0.652,0.586,0.774,0.611,2010,0.48
2102606,0.561,0.456,0.745,0.52,2010,0.58
2102705,0.565,0.468,0.774,0.497,2010,0.6
2102754,0.537,0.43,0.698,0.517,2010,0.57
2102804,0.634,0.529,0.802,0.6,2010,0.55
2102903,0.574,0.476,0.747,0.533,2010,0.54
2103000,0.624,0.543,0.753,0.595,2010,0.55
2103109,0.605,0.57,0.748,0.52,2010,0.56
2103125,0.585,0.557,0.713,0.503,2010,0.54
2103158,0.542,0.442,0.707,0.51,2010,0.56
2103174,0.518,0.382,0.717,0.508,2010,0.56
2103208,0.604,0.517,0.77,0.554,2010,0.59
2103257,0.6,0.529,0.728,0.562,2010,0.47
2103307,0.595,0.492,0.754,0.568,2010,0.57
2103406,0.564,0.454,0.728,0.544,2010,0.54
2103505,0.596,0.524,0.709,0.571,2010,0.63
2103554,0.512,0.37,0.738,0.492,2010,0.51
2103604,0.576,0.475,0.737,0.545,2010,0.58
2103703,0.612,0.525,0.768,0.568,2010,0.58
2103752,0.607,0.535,0.747,0.561,2010,0.45
2103802,0.622,0.545,0.759,0.582,2010,0.48
2103901,0.533,0.451,0.693,0.485,2010,0.6
2104008,0.586,0.503,0.713,0.561,2010,0.59
2104057,0.659,0.536,0.8,0.666,2010,0.56
2104073,0.532,0.405,0.729,0.511,2010,0.62
2104081,0.443,0.286,0.728,0.417,2010,0.55
2104099,0.556,0.459,0.774,0.485,2010,0.63
2104107,0.616,0.534,0.773,0.566,2010,0.53
2104206,0.58,0.494,0.706,0.558,2010,0.56
2104305,0.604,0.546,0.75,0.537,2010,0.5
2104404,0.568,0.445,0.758,0.542,2010,0.59
2104503,0.565,0.481,0.687,0.545,2010,0.55
2104552,0.629,0.552,0.764,0.589,2010,0.46
2104602,0.572,0.462,0.736,0.55,2010,0.58
2104628,0.544,0.459,0.692,0.508,2010,0.55
2104651,0.521,0.387,0.718,0.509,2010,0.52
2104677,0.569,0.472,0.722,0.54,2010,0.56
2104701,0.57,0.459,0.748,0.538,2010,0.53
2104800,0.609,0.497,0.754,0.603,2010,0.61
2104909,0.625,0.592,0.772,0.535,2010,0.56
2105005,0.535,0.455,0.759,0.443,2010,0.64
2105104,0.546,0.472,0.727,0.475,2010,0.59
2105153,0.569,0.506,0.687,0.53,2010,0.5
2105203,0.614,0.536,0.747,0.578,2010,0.52
2105302,0.731,0.698,0.803,0.697,2010,0.56
2105351,0.518,0.419,0.726,0.456,2010,0.55
2105401,0.599,0.539,0.747,0.534,2010,0.56
2105427,0.63,0.545,0.764,0.601,2010,0.52
2105450,0.561,0.481,0.702,0.522,2010,0.57
2105476,0.49,0.346,0.766,0.445,2010,0.67
2105500,0.641,0.573,0.785,0.585,2010,0.44
2105609,0.561,0.445,0.743,0.533,2010,0.57
2105658,0.552,0.443,0.69,0.55,2010,0.52
2105708,0.589,0.502,0.724,0.561,2010,0.55
2105807,0.581,0.492,0.741,0.537,2010,0.6
2105906,0.557,0.466,0.731,0.508,2010,0.51
2105922,0.566,0.475,0.726,0.525,2010,0.52
2105948,0.602,0.534,0.737,0.555,2010,0.47
2105963,0.502,0.36,0.731,0.48,2010,0.54
2105989,0.589,0.494,0.738,0.561,2010,0.6
2106003,0.581,0.481,0.705,0.578,2010,0.56
2106102,0.582,0.495,0.771,0.516,2010,0.54
2106201,0.588,0.512,0.734,0.541,2010,0.6
2106300,0.567,0.499,0.729,0.502,2010,0.59
2106326,0.582,0.501,0.719,0.546,2010,0.47
2106359,0.452,0.299,0.774,0.4,2010,0.62
2106375,0.55,0.465,0.719,0.497,2010,0.51
2106409,0.57,0.494,0.776,0.483,2010,0.57
2106508,0.619,0.56,0.731,0.579,2010,0.64
2106607,0.55,0.434,0.739,0.519,2010,0.56
2106631,0.533,0.436,0.768,0.452,2010,0.57
2106672,0.527,0.413,0.764,0.465,2010,0.54
2106706,0.545,0.451,0.74,0.485,2010,0.64
2106755,0.61,0.55,0.751,0.55,2010,0.47
2106805,0.622,0.582,0.756,0.546,2010,0.51
2106904,0.546,0.464,0.704,0.499,2010,0.52
2107001,0.575,0.486,0.732,0.534,2010,0.56
2107100,0.548,0.48,0.706,0.485,2010,0.58
2107209,0.585,0.547,0.774,0.474,2010,0.62
2107258,0.566,0.481,0.749,0.502,2010,0.54
2107308,0.584,0.489,0.729,0.558,2010,0.53
2107357,0.581,0.484,0.755,0.536,2010,0.47
2107407,0.589,0.491,0.754,0.551,2010,0.53
2107456,0.575,0.531,0.724,0.495,2010,0.6
2107506,0.724,0.739,0.796,0.646,2010,0.49
2107605,0.556,0.492,0.715,0.488,2010,0.57
2107704,0.58,0.473,0.723,0.572,2010,0.54
2107803,0.542,0.416,0.758,0.504,2010,0.55
2107902,0.532,0.401,0.717,0.525,2010,0.55
2108009,0.61,0.559,0.753,0.54,2010,0.55
2108058,0.561,0.511,0.72,0.481,2010,0.62
2108108,0.549,0.447,0.677,0.546,2010,0.58
2108207,0.682,0.621,0.792,0.644,2010,0.59
2108256,0.516,0.415,0.696,0.475,2010,0.58
2108306,0.554,0.472,0.693,0.519,2010,0.51
2108405,0.599,0.572,0.744,0.506,2010,0.53
2108454,0.564,0.464,0.774,0.499,2010,0.6
2108504,0.633,0.592,0.755,0.568,2010,0.51
2108603,0.637,0.579,0.771,0.579,2010,0.51
2108702,0.541,0.408,0.727,0.535,2010,0.53
2108801,0.576,0.514,0.741,0.501,2010,0.6
2108900,0.576,0.481,0.732,0.543,2010,0.54
2109007,0.684,0.606,0.796,0.664,2010,0.57
2109056,0.615,0.561,0.772,0.538,2010,0.52
2109106,0.653,0.563,0.788,0.628,2010,0.56
2109205,0.563,0.532,0.743,0.452,2010,0.61
2109239,0.591,0.522,0.762,0.518,2010,0.52
2109270,0.557,0.472,0.752,0.486,2010,0.51
2109304,0.587,0.56,0.768,0.47,2010,0.61
2109403,0.512,0.414,0.722,0.448,2010,0.6
2109452,0.626,0.587,0.735,0.568,2010,0.48
2109502,0.576,0.442,0.757,0.572,2010,0.6
